NYL @ ATL,,,
08232025,,,
game id = 401736346,,,
TIME,PLAY,NYL,ATL
Q1,,,
10:00,Jonquel Jones vs. Brionna Jones (Emma Meesseman gains possession),0,0
9:42,Emma Meesseman misses 10-foot two point shot,0,0
9:38,Naz Hillmon defensive rebound,0,0
9:18,Natasha Cloud blocks Te-Hina Paopao's driving layup,0,0
9:14,Jonquel Jones defensive rebound,0,0
9:06,Natasha Cloud out of bounds bad pass turnover,0,0
8:55,Naz Hillmon makes 3-foot layup (Rhyne Howard assists),0,2
8:35,Jonquel Jones misses 23-foot three point jumper,0,2
8:31,Rhyne Howard defensive rebound,0,2
8:16,Allisha Gray makes 25-foot three point jumper (Te-Hina Paopao assists),0,5
7:49,Natasha Cloud makes 20-foot pullup jump shot (Emma Meesseman assists),2,5
7:21,Naz Hillmon misses 24-foot three point jumper,2,5
7:18,Natasha Cloud defensive rebound,2,5
7:04,Jonquel Jones misses 24-foot three point jumper,2,5
7:01,Allisha Gray defensive rebound,2,5
6:39,Jonquel Jones blocks Naz Hillmon 's 2-foot driving layup,2,5
6:35,Emma Meesseman defensive rebound,2,5
6:35,Emma Meesseman bad pass (Rhyne Howard steals),2,5
6:29,Rhyne Howard misses driving layup,2,5
6:28,Brionna Jones offensive rebound,2,5
6:27,Brionna Jones makes two point shot,2,7
6:08,Emma Meesseman makes 3-foot layup (Leonie Fiebich assists),4,7
5:47,Te-Hina Paopao makes 23-foot three point jumper (Naz Hillmon assists),4,10
5:25,Leonie Fiebich misses 24-foot three point jumper,4,10
5:22,Brionna Jones defensive rebound,4,10
5:12,Brionna Jones makes 1-foot layup (Allisha Gray assists),4,12
5:12,Liberty Full timeout,4,12
5:12,Maya Caldwell enters the game for Te-Hina Paopao,4,12
5:12,Brittney Griner enters the game for Brionna Jones,4,12
5:12,Kennedy Burke enters the game for Marine Johannes,4,12
5:12,Rebekah Gardner enters the game for Emma Meesseman,4,12
5:06,Brittney Griner shooting foul,4,12
5:06,Kennedy Burke makes free throw 1 of 2,5,12
5:06,Kennedy Burke makes free throw 2 of 2,6,12
4:50,Rhyne Howard misses 23-foot three point jumper,6,12
4:46,Leonie Fiebich defensive rebound,6,12
4:45,Jonquel Jones bad pass (Rhyne Howard steals),6,12
4:40,Allisha Gray makes 23-foot three point shot (Naz Hillmon assists),6,15
